Judd Dredd [1995];[Action]
The Little Mermaid: Ariel's Beginning [2008];[Animation]/[Disney]/
The Many Adventures of Winnie the Pooh [1977];[Animation]/[Disney]/
The Princess and the Frog [2009];[Animation]/[Disney]/
The Rescuers [1977];[Animation]/[Disney]/
The Rescuers Down Under [1990];[Animation]/[Disney]/
The Return of Jafar [1994];[Animation]/[Disney]/
The Sword in the Stone [1963];[Animation]/[Disney]/
The Three Caballeros [1944];[Animation]/[Disney]/
The Tigger Movie [2000];[Animation]/[Disney]/
Treasure Planet [2002];[Animation]/[Disney]/
Winnie the Pooh [2011];[Animation]/[Disney]/
Winnie the Pooh: A Very Merry Pooh Year [2002];[Animation]/[Disney]/
Winnie the Pooh: Seasons of Giving [1999];[Animation]/[Disney]/
Winnie the Pooh: Springtime with Roo [2004];[Animation]/[Disney]/
Zootopia [2016];[Animation]/[Disney]/
American Splendor [2003];[Based on]/[Comic Books]/
Art School Confidential [2006];[Based on]/[Comic Books]/
Black Lightning [2009];[Based on]/[Comic Books]/
Chernaya Molniya [2009];[Based on]/[Comic Books]/
Condorman [1981];[Based on]/[Comic Books]/
Darkman [1990];[Based on]/[Comic Books]/
Darkman II: The Return of Durant [1995];[Based on]/[Comic Books]/
Darkman III: Die Darkman Die [1996];[Based on]/[Comic Books]/
Defendor [2009];[Based on]/[Comic Books]/
Dick Tracy [1990];[Based on]/[Comic Books]/
Dredd [2012];[Based on]/[Comic Books]/
Griff the Invisible [2010];[Based on]/[Comic Books]/
Hancock [2008];[Based on]/[Comic Books]/
Hardware [1990];[Based on]/[Comic Books]/
Heavy Metal [1981];[Based on]/[Comic Books]/
Heavy Metal 2000 [2000];[Based on]/[Comic Books]/
Hellboy [2004];[Based on]/[Comic Books]/
Hellboy II: The Golden Army [2008];[Based on]/[Comic Books]/
It's A Bird, It's A Plane, It's Superman! [1975];[Based on]/[Comic Books]/[DC]/
Judge Dredd [1995];[Based on]/[Comic Books]/
Kick-Ass [2010];[Based on]/[Comic Books]/
Kick-Ass 2 [2013];[Based on]/[Comic Books]/
Krrish [2006];[Based on]/[Comic Books]/
Men in Black [1997];[Based on]/[Comic Books]/
Men in Black II [2002];[Based on]/[Comic Books]/
Men in Black 3 [2012];[Based on]/[Comic Books]/
Monkeybone [2001];[Based on]/[Comic Books]/
My Super Ex-Girlfriend [2006];[Based on]/[Comic Books]/
Mystery Men [1999];[Based on]/[Comic Books]/
Red Sonja [1985];[Based on]/[Comic Books]/
Ri¢hie Ri¢h [1994];[Based on]/[Comic Books]/
Richie Rich [1994];[Based on]/[Comic Books]/
RoboCop [1987];[Based on]/[Comic Books]/
RoboCop [2014];[Based on]/[Comic Books]/
RoboCop 2 [1990];[Based on]/[Comic Books]/
RoboCop 3 [1993];[Based on]/[Comic Books]/
Scott Pilgrim vs. the World [2010];[Based on]/[Comic Books]/
Sin City [2005];[Based on]/[Comic Books]/
Sky High [2005];[Based on]/[Comic Books]/
Son of the Mask [2005];[Based on]/[Comic Books]/
Spawn [1997];[Based on]/[Comic Books]/
Tales From The Crypt: Bordello of Blood [1996];[Based on]/[Comic Books]/
Tales from the Crypt: Demon Knight [1995];[Based on]/[Comic Books]/
Tank Girl [1995];[Based on]/[Comic Books]/
The Adventures of Sharkboy and Lavagirl 3-D [2005];[Based on]/[Comic Books]/
The League of Extraordinary Gentlemen [2003];[Based on]/[Comic Books]/
The Mask [1994];[Based on]/[Comic Books]/
The Meteor Man [1993];[Based on]/[Comic Books]/
The Phantom [1996];[Based on]/[Comic Books]/
The Rocketeer [1991];[Based on]/[Comic Books]/
The Shadow [1994];[Based on]/[Comic Books]/
The Spirit [2008];[Based on]/[Comic Books]/
Timecop [1994];[Based on]/[Comic Books]/
The Toxic Avenger [1984];[Based on]/[Comic Books]/
The Toxic Avenger, Part II [1989];[Based on]/[Comic Books]/
The Toxic Avenger Part III: The Last Temptation of Toxie [1989];[Based on]/[Comic Books]/
Citizen Toxie: The Toxic Avenger IV [2000];[Based on]/[Comic Books]/
Virus [1999];[Based on]/[Comic Books]/
Wanted [2008];[Based on]/[Comic Books]/
Zoom [2006];[Based on]/[Comic Books]/
21 Jump Street [2012];[Based on]/[Television]/
A Fairly Odd Movie: Grow Up, Timmy Turner! [2011];[Based on]/[Television]/
A Night at the Roxbury [1998];[Based on]/[Television]/
A Very Brady Sequel [1996];[Based on]/[Television]/
Addams Family Reunion [1998];[Based on]/[Television]/
Addams Family Values [1993];[Based on]/[Television]/
Adventure [2012];[Based on]/[Television]/
Aeon Flux [2005];[Based on]/[Television]/
Æon Flux [2005];[Based on]/[Television]/
Ali G Indahouse [2002];[Based on]/[Television]/
Ali G, Aiii [2000];[Based on]/[Television]/
Ali G, Innit [1999];[Based on]/[Television]/
Ali G: Bling Bling [2001];[Based on]/[Television]/
And Now for Something Completely Different [1972];[Based on]/[Television]/
Are You Being Served? [1977];[Based on]/[Television]/
Babylon 5: A Call to Arms [1999];[Based on]/[Television]/
Babylon 5: In the Beginning [1998];[Based on]/[Television]/
Babylon 5: The Gathering [1993];[Based on]/[Television]/
Babylon 5: The Legend of the Rangers: To Live and Die in Starlight [2002];[Based on]/[Television]/
Babylon 5: The River of Souls [1998];[Based on]/[Television]/
Babylon 5: Thirdspace [1998];[Based on]/[Television]/
Bean [1997];[Based on]/[Television]/
Bewitched [2005];[Based on]/[Television]/
Bless This House [1972];[Based on]/[Television]/
Blues Brothers 2000 [1998];[Based on]/[Television]/
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan [2006];[Based on]/[Television]/
Bruno [2009];[Based on]/[Television]/
Brüno [2009];[Based on]/[Television]/
Captain Video, Master of the Stratosphere [1951];[Based on]/[Television]/
Car 54, Where Are You? [1963];[Based on]/[Television]/
Charlie's Angels [2000];[Based on]/[Television]/
Charlie's Angels: Full Throttle [2003];[Based on]/[Television]/
Chô gekijô-ban Keroro gunsô [2006];[Based on]/[Television]/
Clarence, the Cross-Eyed Lion [1965];[Based on]/[Television]/
Clifford's Really Big Movie [2004];[Based on]/[Television]/
Come on Over to Barney's House [2000];[Based on]/[Television]/
Coneheads [1993];[Based on]/[Television]/
Dad's Army [1971];[Based on]/[Television]/
Daleks' Invasion Earth: 2150 A.D. [1966];[Based on]/[Television]/
Densha otoko [2005];[Based on]/[Television]/
Dirty Sanchez: The Movie [2006];[Based on]/[Television]/
Doing Time [1979];[Based on]/[Television]/
Doomwatch [1972];[Based on]/[Television]/
Downtime [1995];[Based on]/[Television]/
Dr. Who and the Daleks [1965];[Based on]/[Television]/
Dragnet [1987];[Based on]/[Television]/
Duct Tape Forever [2002];[Based on]/[Television]/
Dudley Do-Right [1999];[Based on]/[Television]/
Exiled [1998];[Based on]/[Television]/
Fat Albert [2004];[Based on]/[Television]/
G.I. Joe: The Movie [1987];[Based on]/[Television]/
G.I. Joe: The Rise of Cobra [2009];[Based on]/[Television]/
George and Mildred [1980];[Based on]/[Television]/
George of the Jungle [1997];[Based on]/[Television]/
George of the Jungle 2 [2003];[Based on]/[Television]/
Get Smart [2008];[Based on]/[Television]/
Get Smart, Again! [1989];[Based on]/[Television]/
Good Burger [1997];[Based on]/[Television]/
Guest House Paradiso [1999];[Based on]/[Television]/
Hey There, It's Yogi Bear! [1964];[Based on]/[Television]/
Holiday on the Buses [1973];[Based on]/[Television]/
House of Dark Shadows [1970];[Based on]/[Television]/
I Spy [2002];[Based on]/[Television]/
I Spy Returns [1994];[Based on]/[Television]/
Initial D - Drift Racer [2005];[Based on]/[Television]/
Inspector Gadget [1999];[Based on]/[Television]/
Inspector Gadget 2 [2003];[Based on]/[Television]/
Iris: The Movie [2010];[Based on]/[Television]/
It's a Great Day [1955];[Based on]/[Television]/
It's a Very Merry Muppet Christmas Movie [2002];[Based on]/[Television]/
It's Pat [1994];[Based on]/[Television]/
Jackass 3 [2010];[Based on]/[Television]/
Jackass 3D [2010];[Based on]/[Television]/
Jackass Number Two [2006];[Based on]/[Television]/
Jackass: The Movie [2002];[Based on]/[Television]/
Jetsons: The Movie [1990];[Based on]/[Television]/
Jett Jackson: The Movie [2001];[Based on]/[Television]/
Josie and the Pussycats [2001];[Based on]/[Television]/
Kids in the Hall: Brain Candy [1996];[Based on]/[Television]/
Kim Possible: A Sitch in Time [2003];[Based on]/[Television]/
Kim Possible: So the Drama [2005];[Based on]/[Television]/
L.A. Law: The Movie [2002];[Based on]/[Television]/
Laughing gor chi bin chit [2009];[Based on]/[Television]/
Leave It to Beaver [1997];[Based on]/[Television]/
Life [2009];[Based on]/[Television]/
Lost in Space [1998];[Based on]/[Television]/
Masters of the Universe [1987];[Based on]/[Television]/
Maverick [1994];[Based on]/[Television]/
McHale's Navy [1997];[Based on]/[Television]/
Miami Vice [2006];[Based on]/[Television]/
Mighty Morphin Power Rangers: The Movie [1995];[Based on]/[Television]/
Mission: Impossible - Ghost Protocol [2011];[Based on]/[Television]/
Mission: Impossible [1996];[Based on]/[Television]/
Mission: Impossible II [2000];[Based on]/[Television]/
Mission: Impossible III [2006];[Based on]/[Television]/
Monty Python and the Holy Grail [1975];[Based on]/[Television]/
Monty Python Live at the Hollywood Bowl [1982];[Based on]/[Television]/
Monty Python's And Now for Something Completely Different [1972];[Based on]/[Television]/
More Than Murder [1984];[Based on]/[Television]/
Mr. Bean's Holiday [2007];[Based on]/[Television]/
Mr. Magoo [1997];[Based on]/[Television]/
Muppets from Space [1999];[Based on]/[Television]/
My Favorite Martian [1999];[Based on]/[Television]/
Mystery Science Theater 3000: The Movie [1996];[Based on]/[Television]/
Night of Dark Shadows [1971];[Based on]/[Television]/
On the Buses [1971];[Based on]/[Television]/
Pennies from Heaven [1981];[Based on]/[Television]/
Popeye [1980];[Based on]/[Television]/
Porridge [1979];[Based on]/[Television]/
Project: ALF [1996];[Based on]/[Television]/
Pufnstuf [1970];[Based on]/[Television]/
Reno 911!: Miami [2007];[Based on]/[Television]/
Rescue from Gilligan's Island [1978];[Based on]/[Television]/
Richie Rich's Christmas Wish [1998];[Based on]/[Television]/
Rising Damp [1978];[Based on]/[Television]/
Rockin' with Judy Jetson [1988];[Based on]/[Television]/
S.W.A.T. [2003];[Based on]/[Television]/
Scooby Doo 2: Monsters Unleashed [2004];[Based on]/[Television]/
Scooby-Doo [2002];[Based on]/[Television]/
Scooby-Doo! The Mystery Begins [2009];[Based on]/[Television]/
Serenity [2005];[Based on]/[Television]/
Sesame Street Presents: Follow that Bird [1985];[Based on]/[Television]/
Seven Magic Users [2007];[Based on]/[Television]/
Sex and the City [2008];[Based on]/[Television]/
Sex and the City 2 [2010];[Based on]/[Television]/
Sgt. Bilko [1996];[Based on]/[Television]/
Shakedown: Return of the Sontarans [1994];[Based on]/[Television]/
South Park: Bigger Longer & Uncut [1999];[Based on]/[Television]/
Spyz [2003];[Based on]/[Television]/
Star Trek [2009];[Based on]/[Television]/
Star Trek II: The Wrath of Khan [1982];[Based on]/[Television]/
Star Trek III: The Search for Spock [1984];[Based on]/[Television]/
Star Trek IV: The Voyage Home [1986];[Based on]/[Television]/
Star Trek V: The Final Frontier [1989];[Based on]/[Television]/
Star Trek VI: The Undiscovered Country [1991];[Based on]/[Television]/
Star Trek: First Contact [1996];[Based on]/[Television]/
Star Trek: Generations [1994];[Based on]/[Television]/
Star Trek: Insurrection [1998];[Based on]/[Television]/
Star Trek: Nemesis [2002];[Based on]/[Television]/
Star Trek: The Motion Picture [1979];[Based on]/[Television]/
Star Trek: Of Gods And Men [2007];[Based on]/[Television]/
Starsky & Hutch [2004];[Based on]/[Television]/
Steptoe and Son [1973];[Based on]/[Television]/
Steptoe and Son Ride Again [1973];[Based on]/[Television]/
Strangers with Candy [2005];[Based on]/[Television]/
Stuart Saves His Family [1995];[Based on]/[Television]/
Superstar [1999];[Based on]/[Television]/
Suspect X [2008];[Based on]/[Television]/
SWAT [2003];[Based on]/[Television]/
Sweeney 2 [1978];[Based on]/[Television]/
Sweeney! [1977];[Based on]/[Television]/
Tau man ji D [2005];[Based on]/[Television]/
Teenage Mutant Ninja Turtles [1990];[Based on]/[Television]/
Teenage Mutant Ninja Turtles [2014];[Based on]/[Television]/
Teenage Mutant Ninja Turtles II: The Secret of the Ooze [1991];[Based on]/[Television]/
Teenage Mutant Ninja Turtles III [1993];[Based on]/[Television]/
The A-Team [2010];[Based on]/[Television]/
The Addams Family [1991];[Based on]/[Television]/
The Adventures of Bob & Doug McKenzie: Strange Brew [1983];[Based on]/[Television]/
The Adventures of Elmo in Grouchland [1999];[Based on]/[Television]/
The Adventures of Rocky & Bullwinkle [2000];[Based on]/[Television]/
The Avengers [1998];[Based on]/[Television]/
The Beverly Hillbillies [1971];[Based on]/[Television]/
The Beverly Hillbillies [1993];[Based on]/[Television]/
The Blues Brothers [1980];[Based on]/[Television]/
The Brady Bunch in the White House [2002];[Based on]/[Television]/
The Brady Bunch Movie [1995];[Based on]/[Television]/
The Castaways on Gilligan's Island [1979];[Based on]/[Television]/
The Dukes of Hazzard [2005];[Based on]/[Television]/
The Dukes of Hazzard: The Beginning [2007];[Based on]/[Television]/
The Flintstones [1994];[Based on]/[Television]/
The Flintstones in Viva Rock Vegas [2000];[Based on]/[Television]/
The Flintstones: On the Rocks [2001];[Based on]/[Television]/
The Fugitive [1993];[Based on]/[Television]/
The Gong Show Movie [1980];[Based on]/[Television]/
The Great Muppet Caper [1981];[Based on]/[Television]/
The Harlem Globetrotters on Gilligan's Island [1981];[Based on]/[Television]/
The Honeymooners [2005];[Based on]/[Television]/
The Ladies Man [2000];[Based on]/[Television]/
The Last Airbender [2010];[Based on]/[Television]/
The League of Gentlemen's Apocalypse [2005];[Based on]/[Television]/
The Legend of Zorro [2005];[Based on]/[Television]/
The Likely Lads [1976];[Based on]/[Television]/
The Little Rascals [1994];[Based on]/[Television]/
The Lizzie McGuire Movie [2003];[Based on]/[Television]/
The Man Called Flintstone [1966];[Based on]/[Television]/
The Mask of Zorro [1998];[Based on]/[Television]/
The Mod Squad [1999];[Based on]/[Television]/
The Muppet Movie [1979];[Based on]/[Television]/
The Muppets Take Manhattan [1984];[Based on]/[Television]/
The Muppets' Wizard of Oz [2005];[Based on]/[Television]/
The Naked Brothers Band: The Movie [2005];[Based on]/[Television]/
The Nude Bomb [1980];[Based on]/[Television]/
The Real World Movie: The Lost Season [2002];[Based on]/[Television]/
The Saint [1997];[Based on]/[Television]/
The Singing Detective [2003];[Based on]/[Television]/
The SpongeBob SquarePants Movie [2004];[Based on]/[Television]/
The Transformers: The Movie [1986];[Based on]/[Television]/
The Untouchables [1987];[Based on]/[Television]/
The X Files [1998];[Based on]/[Television]/
The X Files: Fight the Future [1998];[Based on]/[Television]/
The X Files: I Want to Believe [2008];[Based on]/[Television]/
Thomas & Friends: Tale of the Brave [2014];[Based on]/[Television]/
TMNT [2007];[Based on]/[Television]/
Trailer Park Boys: The Movie [2006];[Based on]/[Television]/
Train Man [2005];[Based on]/[Television]/
Transformers [2007];[Based on]/[Television]/
Transformers: Dark of the Moon [2011];[Based on]/[Television]/
Transformers: Revenge of the Fallen [2009];[Based on]/[Television]/
Turning Point [2009];[Based on]/[Television]/
Twilight Zone: The Movie [1983];[Based on]/[Television]/
Twin Peaks: Fire Walk with Me [1992];[Based on]/[Television]/
U.S. Marshals [1998];[Based on]/[Television]/
Underdog [2007];[Based on]/[Television]/
Veronica Mars [2014];[Based on]/[Television]/
Warrior [2008];[Based on]/[Television]/
Wartime [1987];[Based on]/[Television]/
Whoops Apocalypse [1986];[Based on]/[Television]/
Wild Wild West [1999];[Based on]/[Television]/
Yogi Bear [2010];[Based on]/[Television]/
Yôgisha X no kenshin [2008];[Based on]/[Television]/
Zero Hour! [1957];[Based on]/[Television]/
Barbie and the Diamond Castle [2008];[Based on]/[Toys]/
Barbie and the Magic of Pegasus 3-D [2005];[Based on]/[Toys]/
Barbie and the Three Musketeers [2009];[Based on]/[Toys]/
Barbie as the Princess and the Pauper [2004];[Based on]/[Toys]/
Barbie in a Christmas Carol [2008];[Based on]/[Toys]/
Barbie in a Mermaid Tale [2010];[Based on]/[Toys]/
Barbie in the Nutcracker [2001];[Based on]/[Toys]/
Barbie of Swan Lake [2003];[Based on]/[Toys]/
Barbie Presents: Thumbelina [2009];[Based on]/[Toys]/
Barbie: A Fashion Fairytale [2010];[Based on]/[Toys]/
Barbie: A Perfect Christmas [2011];[Based on]/[Toys]/
Barbie: Mermaidia [2006];[Based on]/[Toys]/
Barbie: Princess Charm School [2011];[Based on]/[Toys]/
Battleship [2012];[Based on]/[Toys]/
